OPEN_TIME,OPEN,HIGH,LOW,CLOSE,VOLUME,CLOSE_TIME,QUOTE_VOL,NUM_TRADES,TAKE_BASE_VOL,TAKE_QUOTE_VOL,EXTRA
1509422400000,0.00000055,0.00000071,0.00000050,0.00000051,7933538.00000000,1509424199999,4.44184883,126,2271656.00000000,1.28941825,196933087.28000600
1509424200000,0.00000052,0.00000053,0.00000047,0.00000048,5072905.00000000,1509425999999,2.55855225,46,2853174.00000000,1.47214430,291273830.54795300
1509426000000,0.00000048,0.00000049,0.00000043,0.00000043,1376041.00000000,1509427799999,0.64632065,24,315977.00000000,0.15482837,438633762.40845000
1509427800000,0.00000047,0.00000047,0.00000046,0.00000046,194317.00000000,1509429599999,0.08982594,7,94317.00000000,0.04382594,444430500.99029800
1509429600000,0.00000046,0.00000047,0.00000044,0.00000044,1386631.00000000,1509431399999,0.61435849,14,99695.00000000,0.04635970,498546049.43279300
1509431400000,0.00000044,0.00000047,0.00000043,0.00000047,3176057.00000000,1509433199999,1.45011415,19,470427.00000000,0.21680375,512305969.57846000
1509433200000,0.00000047,0.00000049,0.00000046,0.00000049,1097345.00000000,1509434999999,0.51406281,19,106945.00000000,0.05197053,519126892.65122100
1509435000000,0.00000049,0.00000049,0.00000043,0.00000043,3416682.00000000,1509436799999,1.59244871,26,862016.00000000,0.41900415,528904761.26909300
1509436800000,0.00000047,0.00000047,0.00000046,0.00000047,368809.00000000,1509438599999,0.17034023,4,368809.00000000,0.17034023,533831646.16479400
1509438600000,0.00000047,0.00000047,0.00000044,0.00000044,1346950.00000000,1509440399999,0.62006036,13,534380.00000000,0.25115860,537124102.64991900
1509440400000,0.00000044,0.00000046,0.00000044,0.00000046,386152.00000000,1509442199999,0.17699080,3,354196.00000000,0.16293016,551132456.24686600
1509442200000,0.00000046,0.00000046,0.00000044,0.00000044,377155.00000000,1509443999999,0.16669130,2,37155.00000000,0.01709130,551518865.93780900
1509444000000,0.00000044,0.00000047,0.00000044,0.00000046,423649.00000000,1509445799999,0.18883966,11,106705.00000000,0.04938430,553097569.50286400
1509445800000,0.00000046,0.00000047,0.00000044,0.00000047,1144089.00000000,1509447599999,0.53549748,15,1116174.00000000,0.52321488,554348632.05219100
1509447600000,0.00000045,0.00000048,0.00000044,0.00000044,13723428.00000000,1509449399999,6.15397704,26,597838.00000000,0.28076884,583867920.60739100
1509449400000,0.00000046,0.00000046,0.00000043,0.00000045,841311.00000000,1509451199999,0.37156685,14,670044.00000000,0.29792204,596362035.13836500
1509451200000,0.00000045,0.00000045,0.00000043,0.00000043,1433162.00000000,1509452999999,0.64294590,15,1208129.00000000,0.54365805,598544881.57777000
1509453000000,0.00000045,0.00000046,0.00000045,0.00000046,247927.00000000,1509454799999,0.11180340,4,247927.00000000,0.11180340,598728771.77367400
1509454800000,0.00000046,0.00000046,0.00000043,0.00000043,1110968.00000000,1509456599999,0.49994197,15,722175.00000000,0.33108208,606104274.47367400
1509456600000,0.00000045,0.00000045,0.00000045,0.00000045,575350.00000000,1509458399999,0.25890750,6,575350.00000000,0.25890750,621870961.39937400
1509458400000,0.00000044,0.00000046,0.00000044,0.00000046,3502055.00000000,1509460199999,1.57575585,17,2047446.00000000,0.92172768,623018151.39937400
1509460200000,0.00000046,0.00000046,0.00000045,0.00000046,707453.00000000,1509461999999,0.32036717,12,635170.00000000,0.28783982,635447932.62037400
1509462000000,0.00000043,0.00000046,0.00000043,0.00000045,3842559.00000000,1509463799999,1.72866511,19,60660.00000000,0.02790360,635870333.85296200
1509463800000,0.00000045,0.00000046,0.00000044,0.00000044,684982.00000000,1509465599999,0.30890678,20,217016.00000000,0.09922381,640010770.82693700
1509465600000,0.00000046,0.00000046,0.00000044,0.00000045,1974594.00000000,1509467399999,0.90464372,18,1615176.00000000,0.74298096,650133913.84626000
1509467400000,0.00000045,0.00000045,0.00000045,0.00000045,262437.00000000,1509469199999,0.11809665,2,0.00000000,0.00000000,650520560.21301300
1509469200000,0.00000045,0.00000045,0.00000044,0.00000045,149213.00000000,1509470999999,0.06595372,6,15000.00000000,0.00675000,651690728.20961300
1509471000000,0.00000045,0.00000046,0.00000045,0.00000046,590086.00000000,1509472799999,0.27006149,22,137840.00000000,0.06340629,651731961.20961300
1509472800000,0.00000047,0.00000048,0.00000046,0.00000048,576675.00000000,1509474599999,0.27474040,17,573498.00000000,0.27324721,651731961.20961300
1509474600000,0.00000049,0.00000049,0.00000047,0.00000047,4170146.00000000,1509476399999,1.97696841,18,2700033.00000000,1.28366766,655403983.04530600
1509476400000,0.00000046,0.00000048,0.00000046,0.00000047,750627.00000000,1509478199999,0.35391587,14,160286.00000000,0.07693719,660758705.04657000
