OPEN_TIME,OPEN,HIGH,LOW,CLOSE,VOLUME,CLOSE_TIME,QUOTE_VOL,NUM_TRADES,TAKE_BASE_VOL,TAKE_QUOTE_VOL,EXTRA
1509607800000,0.00002246,0.00002246,0.00002246,0.00002246,100.00000000,1509609599999,0.00224600,1,0.00000000,0.00000000,1227835.68081600
1509609600000,0.00002800,0.00002802,0.00002501,0.00002501,10768.00000000,1509611399999,0.29223289,12,2291.00000000,0.06384475,1318263.26852900
1509611400000,0.00002588,0.00002678,0.00002588,0.00002617,26443.00000000,1509613199999,0.69134309,18,5122.00000000,0.13318512,1322645.15022900
1509613200000,0.00002627,0.00002643,0.00002603,0.00002639,244043.00000000,1509614999999,6.41289237,111,135511.00000000,3.56581049,1350539.25548100
1509615000000,0.00002639,0.00002655,0.00002616,0.00002625,113619.00000000,1509616799999,2.99544366,113,71581.00000000,1.89403105,1362055.68635500
1509616800000,0.00002618,0.00002625,0.00002517,0.00002589,325573.00000000,1509618599999,8.46827560,116,296517.00000000,7.72484359,1362011.58635500
1509618600000,0.00002589,0.00002589,0.00002400,0.00002495,71626.00000000,1509620399999,1.76949468,73,21247.00000000,0.52706344,1382943.58635500
1509620400000,0.00002471,0.00002595,0.00002440,0.00002587,146422.00000000,1509622199999,3.64559647,118,75113.00000000,1.87200349,1383188.68635500
1509622200000,0.00002593,0.00002905,0.00002587,0.00002725,146329.00000000,1509623999999,3.97508144,148,91799.00000000,2.45753069,1393869.68978700
1509624000000,0.00002764,0.00002884,0.00002726,0.00002774,25893.00000000,1509625799999,0.71595275,100,4887.00000000,0.13745635,1394369.66978700
1509625800000,0.00002818,0.00002818,0.00002635,0.00002652,111173.00000000,1509627599999,3.00311965,61,38543.00000000,1.05853031,1396586.33270200
1509627600000,0.00002656,0.00002749,0.00002616,0.00002651,383239.00000000,1509629399999,10.17006599,89,3497.00000000,0.09613253,1396991.33270200
1509629400000,0.00002651,0.00002673,0.00002500,0.00002600,139427.00000000,1509631199999,3.60144634,82,5908.00000000,0.14929194,1423821.81248800
1509631200000,0.00002610,0.00002678,0.00002500,0.00002672,188843.00000000,1509632999999,5.00180394,144,25738.00000000,0.66951662,1445348.83248800
1509633000000,0.00002672,0.00002732,0.00002671,0.00002692,157336.00000000,1509634799999,4.21522493,119,73690.00000000,1.97160462,1449959.08760800
1509634800000,0.00002692,0.00002732,0.00002668,0.00002668,169615.00000000,1509636599999,4.55967717,69,27547.00000000,0.74616949,1453852.04599800
1509636600000,0.00002708,0.00002708,0.00002594,0.00002700,81869.00000000,1509638399999,2.19375213,63,58716.00000000,1.58717752,1474497.48023800
1509638400000,0.00002678,0.00002699,0.00002677,0.00002684,323055.00000000,1509640199999,8.66532475,124,131659.00000000,3.53662685,1487222.26673700
1509640200000,0.00002679,0.00002684,0.00002677,0.00002679,217211.00000000,1509641999999,5.82169366,165,90751.00000000,2.43428751,1492618.56999800
1509642000000,0.00002683,0.00002707,0.00002679,0.00002685,245016.00000000,1509643799999,6.58500096,148,138476.00000000,3.72772166,1497013.94930900
1509643800000,0.00002706,0.00002827,0.00002684,0.00002706,210074.00000000,1509645599999,5.86531713,157,99626.00000000,2.78464699,1555842.87653800
1509645600000,0.00002778,0.00002824,0.00002706,0.00002810,130644.00000000,1509647399999,3.61220539,106,59252.00000000,1.65101318,1555842.87653800
1509647400000,0.00002811,0.00002856,0.00002756,0.00002849,202536.00000000,1509649199999,5.73868240,130,143247.00000000,4.07928192,1561110.87653800
1509649200000,0.00002846,0.00002855,0.00002826,0.00002846,204149.00000000,1509650999999,5.80755942,124,201629.00000000,5.73577878,1561987.29832600
1509651000000,0.00002845,0.00002900,0.00002837,0.00002838,184969.00000000,1509652799999,5.25849765,143,181087.00000000,5.14816084,1564093.92832600
1509652800000,0.00002836,0.00002840,0.00002801,0.00002801,145724.00000000,1509654599999,4.11074050,141,117590.00000000,3.32089685,1564093.92832600
1509654600000,0.00002808,0.00002808,0.00002621,0.00002767,211933.00000000,1509656399999,5.81090605,88,106112.00000000,2.93434907,1577302.27950300
1509656400000,0.00002766,0.00002880,0.00002690,0.00002780,474899.00000000,1509658199999,13.19313322,170,205922.00000000,5.74398115,1585763.25950300
1509658200000,0.00002779,0.00002853,0.00002701,0.00002791,144154.00000000,1509659999999,3.99920226,139,52255.00000000,1.46189098,1590338.23950300
1509660000000,0.00002735,0.00002902,0.00002735,0.00002802,214470.00000000,1509661799999,6.03934235,144,159364.00000000,4.49731521,1623880.13285600
1509661800000,0.00002829,0.00002946,0.00002801,0.00002864,212621.00000000,1509663599999,6.02764999,169,134961.00000000,3.84728571,1637045.83374800
1509663600000,0.00002808,0.00003079,0.00002807,0.00002879,232916.00000000,1509665399999,6.69669528,150,71543.00000000,2.07944395,1686608.66057500
1509665400000,0.00002878,0.00003175,0.00002814,0.00002959,233313.00000000,1509667199999,7.04670061,232,66775.00000000,2.01346590,1704107.58140100
1509667200000,0.00002957,0.00004598,0.00002915,0.00004000,1146457.00000000,1509668999999,44.89729270,539,666452.00000000,25.88064762,2000416.77664500
1509669000000,0.00003997,0.00004000,0.00003018,0.00003230,1311819.00000000,1509670799999,42.30399108,519,724064.00000000,23.52239185,3647385.83677500
