OPEN_TIME,OPEN,HIGH,LOW,CLOSE,VOLUME,CLOSE_TIME,QUOTE_VOL,NUM_TRADES,TAKE_BASE_VOL,TAKE_QUOTE_VOL,EXTRA
1513339200000,0.00065000,0.00065000,0.00065000,0.00065000,10.00000000,1513340999999,0.00650000,1,0.00000000,0.00000000,73957.33122249
1513341000000,0.00100000,0.00900000,0.00071010,0.00075990,54606.65000000,1513342799999,53.75719098,1144,30918.00000000,28.13387861,131110.62035205
1513342800000,0.00076990,0.00077570,0.00074110,0.00076800,24741.73000000,1513344599999,18.92759154,434,11099.53000000,8.51554075,151928.61617487
1513344600000,0.00076800,0.00076870,0.00071010,0.00072100,19240.50000000,1513346399999,14.46544048,372,5048.87000000,3.80800990,161072.43172534
1513346400000,0.00072900,0.00076480,0.00072100,0.00076400,5981.26000000,1513348199999,4.47031580,233,3091.59000000,2.31071709,168230.00168240
1513348200000,0.00076380,0.00129990,0.00075030,0.00080000,146067.53000000,1513349999999,135.48035166,2362,74746.17000000,70.61488247,236787.92464438
1513350000000,0.00078010,0.00079990,0.00050000,0.00075340,75005.34000000,1513351799999,55.57536835,942,24751.98000000,18.97137912,307918.38519236
1513351800000,0.00075340,0.00077800,0.00074000,0.00077200,25807.92000000,1513353599999,19.65906145,416,14923.41000000,11.38311938,310348.60551965
1513353600000,0.00077000,0.00081900,0.00076060,0.00079000,17963.46000000,1513355399999,14.03899014,403,8784.07000000,6.87071139,313158.45980721
1513355400000,0.00079000,0.00081970,0.00076220,0.00078850,24364.84000000,1513357199999,19.19089547,447,15129.15000000,11.96300217,320699.42345973
1513357200000,0.00078850,0.00079960,0.00076590,0.00077400,16176.54000000,1513358999999,12.64472640,360,4959.36000000,3.88558494,341351.61004940
1513359000000,0.00077850,0.00077860,0.00077000,0.00077000,6455.93000000,1513360799999,4.99835103,232,4713.43000000,3.65369129,398932.51606358
1513360800000,0.00077000,0.00077310,0.00074000,0.00076520,7675.82000000,1513362599999,5.87523732,207,3825.84000000,2.93727649,399006.30827016
1513362600000,0.00076510,0.00076510,0.00073540,0.00073540,4472.00000000,1513364399999,3.34906937,186,1332.32000000,0.99805643,410745.60101236
1513364400000,0.00073530,0.00075980,0.00073020,0.00075810,5783.94000000,1513366199999,4.26804386,205,3350.62000000,2.46567067,410919.50478574
1513366200000,0.00075810,0.00075980,0.00074010,0.00075790,5056.74000000,1513367999999,3.80117940,144,3520.12000000,2.65145470,411129.35969417
1513368000000,0.00075790,0.00076550,0.00075550,0.00076550,1805.96000000,1513369799999,1.36938006,105,1018.91000000,0.77311593,411327.81936987
1513369800000,0.00076540,0.00077990,0.00075790,0.00077150,3352.87000000,1513371599999,2.56748786,154,1591.40000000,1.22646485,412335.71078741
1513371600000,0.00077150,0.00077150,0.00075520,0.00075520,3684.83000000,1513373399999,2.80739792,169,1134.53000000,0.86766169,415452.64994747
1513373400000,0.00076130,0.00076160,0.00074800,0.00075500,4201.34000000,1513375199999,3.17488216,138,2904.97000000,2.19940177,417872.06492843
1513375200000,0.00075500,0.00076380,0.00074500,0.00075950,2775.04000000,1513376999999,2.08914523,155,1420.40000000,1.07402865,418849.62855842
1513377000000,0.00076380,0.00076430,0.00075340,0.00075340,3203.38000000,1513378799999,2.43853419,116,1586.13000000,1.20804360,418850.68107326
1513378800000,0.00076310,0.00076330,0.00073500,0.00074000,6274.65000000,1513380599999,4.70235912,195,1780.76000000,1.33520374,422057.50002465
1513380600000,0.00073510,0.00074990,0.00073000,0.00074500,2299.14000000,1513382399999,1.71216968,141,1478.20000000,1.10427145,422121.20532609
1513382400000,0.00074000,0.00077520,0.00073500,0.00075700,8306.37000000,1513384199999,6.25538207,194,6275.38000000,4.72734663,425015.58499104
1513384200000,0.00075700,0.00076800,0.00071610,0.00074300,7217.80000000,1513385999999,5.39216460,140,2130.37000000,1.60363153,427472.02111104
1513386000000,0.00074990,0.00074990,0.00073000,0.00074710,3881.15000000,1513387799999,2.90035776,101,1710.54000000,1.28018057,427624.31403864
1513387800000,0.00074700,0.00074990,0.00073010,0.00074970,2243.63000000,1513389599999,1.67139659,72,1270.38000000,0.95104150,428159.34703864
1513389600000,0.00074970,0.00077490,0.00074970,0.00076470,2916.08000000,1513391399999,2.22998977,100,2210.53000000,1.69152950,428243.69444710
1513391400000,0.00075550,0.00077400,0.00075550,0.00077100,4775.47000000,1513393199999,3.65977948,124,3278.52000000,2.51599379,428249.53994629
1513393200000,0.00077000,0.00077480,0.00075620,0.00076990,4559.01000000,1513394999999,3.49343917,154,2675.33000000,2.04801328,428286.40894629
1513395000000,0.00076750,0.00077000,0.00075690,0.00076480,1167.86000000,1513396799999,0.88985736,60,368.58000000,0.28177199,428409.38210365
1513396800000,0.00076480,0.00077990,0.00076480,0.00076560,6212.98000000,1513398599999,4.81826745,102,4900.27000000,3.80313684,428611.81010365
1513398600000,0.00076600,0.00077890,0.00076060,0.00077150,2092.16000000,1513400399999,1.60975706,96,1376.90000000,1.06016425,431075.83807868
1513400400000,0.00077010,0.00077200,0.00077000,0.00077200,3887.91000000,1513402199999,2.99710945,85,2211.38000000,1.70570822,432101.52271735
1513402200000,0.00077200,0.00077990,0.00077000,0.00077310,4091.13000000,1513403999999,3.18461505,104,2998.50000000,2.33756084,432153.15388476
1513404000000,0.00077010,0.00077960,0.00076000,0.00076890,2170.92000000,1513405799999,1.66587891,88,410.71000000,0.31637275,433111.28788477
1513405800000,0.00076080,0.00076870,0.00074800,0.00075290,2607.80000000,1513407599999,1.96796805,91,1319.85000000,0.99480114,434186.51764379
1513407600000,0.00075320,0.00075500,0.00075000,0.00075440,1414.41000000,1513409399999,1.06405042,76,738.56000000,0.55695130,435299.39585111
1513409400000,0.00075010,0.00075010,0.00073600,0.00074260,5541.80000000,1513411199999,4.09597589,107,1720.23000000,1.27251305,435375.97983392
1513411200000,0.00074260,0.00075400,0.00073790,0.00075350,2965.38000000,1513412999999,2.21505210,91,1887.99000000,1.41060622,435791.13904267
1513413000000,0.00075350,0.00075950,0.00074990,0.00075000,1029.47000000,1513414799999,0.77517694,46,274.96000000,0.20748642,435938.13604267
1513414800000,0.00075690,0.00075700,0.00074670,0.00075000,2278.66000000,1513416599999,1.71509488,93,1369.78000000,1.03257159,438454.24202115
1513416600000,0.00075160,0.00076510,0.00074420,0.00075620,4511.86000000,1513418399999,3.39287009,97,3588.78000000,2.70008555,438516.49530429
1513418400000,0.00075600,0.00075600,0.00075150,0.00075250,2401.16000000,1513420199999,1.80845569,129,1435.65000000,1.08236663,440620.14854230
1513420200000,0.00075250,0.00075260,0.00074750,0.00075230,3005.46000000,1513421999999,2.25797002,107,1659.97000000,1.24818182,440765.40323908
1513422000000,0.00075230,0.00075350,0.00074740,0.00075350,1848.53000000,1513423799999,1.38811216,67,1301.56000000,0.97855584,442413.89993520
1513423800000,0.00075350,0.00075500,0.00074740,0.00074810,4520.00000000,1513425599999,3.38841886,133,1371.84000000,1.03158027,442615.77830757
1513425600000,0.00074840,0.00077150,0.00074840,0.00075900,8084.45000000,1513427399999,6.11861319,185,3307.01000000,2.50824634,445466.60874518
1513427400000,0.00075910,0.00076680,0.00074000,0.00074860,6081.83000000,1513429199999,4.57814845,199,1668.31000000,1.25915297,450956.98089998
1513429200000,0.00074460,0.00074980,0.00072010,0.00072110,6224.06000000,1513430999999,4.59145062,204,1300.05000000,0.96218854,451750.86843201
1513431000000,0.00072870,0.00073890,0.00070070,0.00073000,7365.70000000,1513432799999,5.28579888,180,3276.62000000,2.35468999,451925.06369590
1513432800000,0.00073000,0.00073500,0.00072290,0.00073200,1333.40000000,1513434599999,0.97198349,79,877.83000000,0.64107983,453099.50638210
1513434600000,0.00073200,0.00074000,0.00071010,0.00072080,4912.57000000,1513436399999,3.55924599,137,1961.73000000,1.42664060,453423.80479143
1513436400000,0.00072080,0.00072080,0.00070500,0.00071000,2417.84000000,1513438199999,1.72207758,130,1038.02000000,0.73938179,469963.32072967
1513438200000,0.00071000,0.00071000,0.00065060,0.00066500,10986.29000000,1513439999999,7.44864228,266,4996.52000000,3.33854924,471192.44177392
1513440000000,0.00066450,0.00070500,0.00065200,0.00070000,9734.25000000,1513441799999,6.55797006,219,6987.58000000,4.71033443,471248.14955738
1513441800000,0.00069570,0.00070990,0.00069500,0.00070650,3812.63000000,1513443599999,2.68437412,111,643.99000000,0.45452524,471990.05249495
