OPEN_TIME,OPEN,HIGH,LOW,CLOSE,VOLUME,CLOSE_TIME,QUOTE_VOL,NUM_TRADES,TAKE_BASE_VOL,TAKE_QUOTE_VOL,EXTRA
1506762000000,0.00007000,0.00055555,0.00007000,0.00016000,140614.00000000,1506763799999,26.93185134,443,33660.00000000,7.33663590,872470.96542200
1506763800000,0.00015229,0.00017500,0.00014901,0.00015886,123351.00000000,1506765599999,19.84474006,331,57464.00000000,9.35202673,936033.66147400
1506765600000,0.00015504,0.00015786,0.00014678,0.00015480,107970.00000000,1506767399999,16.34227951,232,63996.00000000,9.73645385,1172008.68315000
1506767400000,0.00015449,0.00015805,0.00014899,0.00015644,71657.00000000,1506769199999,11.06257873,186,49012.00000000,7.58914332,1337355.63402200
1506769200000,0.00015738,0.00015744,0.00015181,0.00015284,25010.00000000,1506770999999,3.83762254,150,10944.00000000,1.68328882,1468164.66421400
1506771000000,0.00015284,0.00015400,0.00014981,0.00015000,42482.00000000,1506772799999,6.46358860,228,22024.00000000,3.36098838,1527647.99733100
1506772800000,0.00015000,0.00015292,0.00014800,0.00014807,60735.00000000,1506774599999,9.11136915,242,8823.00000000,1.33370303,1542741.22334700
1506774600000,0.00014886,0.00014890,0.00014416,0.00014749,40616.00000000,1506776399999,5.97770023,207,15987.00000000,2.34962372,1695232.66058200
1506776400000,0.00014521,0.00014759,0.00014500,0.00014500,23788.00000000,1506778199999,3.48008211,194,14108.00000000,2.06512236,1718663.88914200
1506778200000,0.00014500,0.00014740,0.00014415,0.00014697,24306.00000000,1506779999999,3.56452029,157,13780.00000000,2.02477788,1720073.34981300
1506780000000,0.00014652,0.00014879,0.00014501,0.00014779,24549.00000000,1506781799999,3.58807825,173,11111.00000000,1.62605144,1731070.55386600
1506781800000,0.00014728,0.00014948,0.00014621,0.00014911,45990.00000000,1506783599999,6.84188189,186,37821.00000000,5.63101770,1754205.81826000
1506783600000,0.00014904,0.00014948,0.00014704,0.00014705,33109.00000000,1506785399999,4.92910772,238,13341.00000000,1.98994824,1792163.05767300
1506785400000,0.00014705,0.00014708,0.00014553,0.00014553,55429.00000000,1506787199999,8.10266983,238,14082.00000000,2.05759171,1801092.47022200
1506787200000,0.00014556,0.00014918,0.00014502,0.00014704,39199.00000000,1506788999999,5.74380245,253,10024.00000000,1.47004615,1815620.01364900
1506789000000,0.00014702,0.00014748,0.00014385,0.00014411,42220.00000000,1506790799999,6.14931921,269,15169.00000000,2.20818332,1859763.26610900
1506790800000,0.00014388,0.00014560,0.00014385,0.00014460,17922.00000000,1506792599999,2.58397518,183,10731.00000000,1.54801423,1863726.81451100
1506792600000,0.00014459,0.00014746,0.00014401,0.00014580,17093.00000000,1506794399999,2.48267144,164,10299.00000000,1.49923105,1933652.02784400
1506794400000,0.00014580,0.00014749,0.00014400,0.00014470,30699.00000000,1506796199999,4.45560834,204,19544.00000000,2.83909233,1942240.23078900
1506796200000,0.00014469,0.00014600,0.00014401,0.00014487,30000.00000000,1506797999999,4.34053873,201,12749.00000000,1.84739389,1947423.21021700
1506798000000,0.00014402,0.00014900,0.00014400,0.00014533,19257.00000000,1506799799999,2.80433248,176,12297.00000000,1.79835754,2007605.24183700
1506799800000,0.00014533,0.00014921,0.00014400,0.00014401,15955.00000000,1506801599999,2.31874472,192,8900.00000000,1.29507184,2053846.92345900
1506801600000,0.00014564,0.00014899,0.00014401,0.00014646,26207.00000000,1506803399999,3.81355341,206,15471.00000000,2.24793122,2056589.54409700
1506803400000,0.00014679,0.00014946,0.00014403,0.00014692,34472.00000000,1506805199999,5.05596015,226,13177.00000000,1.94961274,2057088.54409700
1506805200000,0.00014692,0.00014945,0.00014600,0.00014698,24350.00000000,1506806999999,3.57406497,226,7812.00000000,1.15040723,2058027.24409800
1506807000000,0.00014698,0.00014705,0.00014403,0.00014410,28430.00000000,1506808799999,4.13782048,207,6181.00000000,0.90215759,2082092.24410800
1506808800000,0.00014405,0.00014570,0.00014401,0.00014403,14343.00000000,1506810599999,2.07077698,154,4026.00000000,0.58313381,2089480.38310800
1506810600000,0.00014405,0.00014570,0.00014229,0.00014400,40654.00000000,1506812399999,5.82643748,165,12421.00000000,1.78871507,2128179.47127200
1506812400000,0.00014303,0.00014500,0.00014102,0.00014251,17099.00000000,1506814199999,2.45537443,170,9005.00000000,1.29748222,2142586.91620200
1506814200000,0.00014395,0.00014396,0.00014000,0.00014119,18557.00000000,1506815999999,2.63493400,115,5811.00000000,0.82794927,2145566.45688000
1506816000000,0.00014119,0.00014394,0.00014018,0.00014392,12906.00000000,1506817799999,1.84539402,161,6518.00000000,0.93078035,2150935.77277200
1506817800000,0.00014393,0.00014394,0.00014020,0.00014200,15781.00000000,1506819599999,2.26401906,136,4835.00000000,0.69503529,2156572.07107000
1506819600000,0.00014250,0.00014392,0.00014001,0.00014291,20096.00000000,1506821399999,2.83378503,140,4996.00000000,0.70770056,2163827.91109700
1506821400000,0.00014100,0.00014392,0.00014001,0.00014258,5774.00000000,1506823199999,0.82351232,94,3549.00000000,0.50700782,2182052.70785500
1506823200000,0.00014265,0.00014269,0.00014000,0.00014105,14204.00000000,1506824999999,2.00691943,145,6916.00000000,0.97907238,2184134.93341800
1506825000000,0.00014244,0.00014376,0.00014004,0.00014291,17308.00000000,1506826799999,2.46311226,161,5299.00000000,0.75473441,2185570.98551000
