OPEN_TIME,OPEN,HIGH,LOW,CLOSE,VOLUME,CLOSE_TIME,QUOTE_VOL,NUM_TRADES,TAKE_BASE_VOL,TAKE_QUOTE_VOL,EXTRA
1512043200000,0.00000900,0.00000900,0.00000900,0.00000900,1064.00000000,1512044999999,0.00957600,1,0.00000000,0.00000000,2978003.00000000
1512045000000,0.00008900,0.00008900,0.00001100,0.00001230,5467734.00000000,1512046799999,70.89776401,757,2932866.00000000,38.86051313,14884618.46300700
1512046800000,0.00001230,0.00001231,0.00001107,0.00001169,2311453.00000000,1512048599999,26.98564336,494,1020028.00000000,11.86909685,21000999.82303000
1512048600000,0.00001154,0.00001170,0.00001116,0.00001135,2394767.00000000,1512050399999,27.39045389,364,1007572.00000000,11.54476563,24471779.53211700
1512050400000,0.00001135,0.00001224,0.00001134,0.00001208,2837921.00000000,1512052199999,33.41890850,365,1801604.00000000,21.20607255,26152205.44453900
1512052200000,0.00001208,0.00001270,0.00001167,0.00001221,4986288.00000000,1512053999999,60.64456945,431,2982557.00000000,36.19829060,28942850.95876700
1512054000000,0.00001221,0.00001222,0.00001146,0.00001168,3734022.00000000,1512055799999,44.08905413,347,2517993.00000000,29.68293405,31193818.86314700
1512055800000,0.00001184,0.00001207,0.00001168,0.00001189,2456460.00000000,1512057599999,29.27556551,343,1960934.00000000,23.38523551,32239890.52905500
1512057600000,0.00001194,0.00001205,0.00001169,0.00001186,2461587.00000000,1512059399999,29.23452905,323,1490786.00000000,17.73999441,33057833.99641400
1512059400000,0.00001194,0.00001271,0.00001185,0.00001212,5724259.00000000,1512061199999,69.60251784,499,3500139.00000000,42.64902503,34165345.01920200
1512061200000,0.00001213,0.00001249,0.00001201,0.00001239,3551806.00000000,1512062999999,43.20174086,390,2306698.00000000,28.08146821,34887303.81338700
1512063000000,0.00001239,0.00001271,0.00001221,0.00001259,2668188.00000000,1512064799999,33.18164376,421,1240497.00000000,15.50877269,35998453.53031100
1512064800000,0.00001260,0.00001263,0.00001163,0.00001168,2693504.00000000,1512066599999,32.82480010,404,981822.00000000,12.06714095,37818404.16774000
1512066600000,0.00001187,0.00001215,0.00001168,0.00001180,2810382.00000000,1512068399999,33.63760571,319,1818219.00000000,21.78649293,39002139.74672800
1512068400000,0.00001180,0.00001205,0.00001163,0.00001197,1905044.00000000,1512070199999,22.69130980,225,967058.00000000,11.52398502,42820384.76866700
1512070200000,0.00001199,0.00001200,0.00001160,0.00001177,3039609.00000000,1512071999999,35.89233196,343,1517788.00000000,17.91561901,45190630.04336400
1512072000000,0.00001176,0.00001180,0.00001136,0.00001180,3026408.00000000,1512073799999,34.95881214,309,1495574.00000000,17.30152376,46120174.63858800
1512073800000,0.00001180,0.00001195,0.00001157,0.00001195,2644324.00000000,1512075599999,31.29841474,287,1915401.00000000,22.67242196,46777823.89593000
1512075600000,0.00001194,0.00001205,0.00001171,0.00001171,2573456.00000000,1512077399999,30.58938182,334,1771922.00000000,21.06945047,47630277.96120100
1512077400000,0.00001179,0.00001248,0.00001172,0.00001195,2160161.00000000,1512079199999,26.13176767,366,1263623.00000000,15.30360270,47688528.51493300
1512079200000,0.00001191,0.00001219,0.00001175,0.00001205,2564156.00000000,1512080999999,30.56798787,321,1575079.00000000,18.79441638,48927565.98476400
1512081000000,0.00001204,0.00001250,0.00001199,0.00001241,3818474.00000000,1512082799999,46.59488967,422,2857519.00000000,34.84345662,48970610.96935200
1512082800000,0.00001236,0.00001300,0.00001215,0.00001233,3324691.00000000,1512084599999,41.78606574,516,2049408.00000000,25.88641741,49539260.81295600
1512084600000,0.00001247,0.00001247,0.00001201,0.00001204,1882822.00000000,1512086399999,22.86256708,462,832652.00000000,10.13829128,50596956.42676400
1512086400000,0.00001204,0.00001209,0.00001155,0.00001156,2269009.00000000,1512088199999,26.78270704,459,988337.00000000,11.65654420,53388731.24287900
1512088200000,0.00001157,0.00001185,0.00001142,0.00001184,2429746.00000000,1512089999999,28.47050942,323,1536633.00000000,18.03618497,57395777.37330300
1512090000000,0.00001183,0.00001184,0.00001164,0.00001175,3172392.00000000,1512091799999,37.22184988,317,2324874.00000000,27.29271445,57779185.82800800
1512091800000,0.00001175,0.00001204,0.00001175,0.00001204,4693834.00000000,1512093599999,55.84202512,401,4036830.00000000,48.03279502,58558422.49093400
1512093600000,0.00001205,0.00001215,0.00001194,0.00001209,4763750.00000000,1512095399999,57.60549402,555,2853429.00000000,34.52179515,59895921.00367800
1512095400000,0.00001211,0.00001218,0.00001209,0.00001213,3930002.00000000,1512097199999,47.64554291,309,2251589.00000000,27.30841996,61724085.38053000
1512097200000,0.00001213,0.00001214,0.00001189,0.00001194,2895631.00000000,1512098999999,34.66754703,326,1921463.00000000,23.00538981,62339040.63301200
1512099000000,0.00001195,0.00001195,0.00001183,0.00001190,2157705.00000000,1512100799999,25.65047200,273,1660405.00000000,19.74144780,63135342.55015000
1512100800000,0.00001189,0.00001200,0.00001188,0.00001199,2715640.00000000,1512102599999,32.44788775,228,1712562.00000000,20.44886706,64067154.75415000
1512102600000,0.00001192,0.00001200,0.00001192,0.00001198,1592529.00000000,1512104399999,19.02085345,178,1132874.00000000,13.52949155,64789748.47060300
1512104400000,0.00001199,0.00001200,0.00001191,0.00001194,1624033.00000000,1512106199999,19.40220060,184,1172456.00000000,14.00100822,66150953.06116700
1512106200000,0.00001195,0.00001201,0.00001193,0.00001201,2269894.00000000,1512107999999,27.16097423,214,1023040.00000000,12.24749719,66237618.02741900
1512108000000,0.00001201,0.00001201,0.00001188,0.00001195,3282904.00000000,1512109799999,39.28655813,287,1444650.00000000,17.28766293,67280947.63631100
1512109800000,0.00001195,0.00001202,0.00001187,0.00001199,3364427.00000000,1512111599999,40.13966622,251,2852573.00000000,34.03828533,68368451.54062500
1512111600000,0.00001200,0.00001218,0.00001199,0.00001205,2013233.00000000,1512113399999,24.33477150,228,1073995.00000000,12.96903642,69031863.27257300
1512113400000,0.00001208,0.00001208,0.00001194,0.00001199,3204893.00000000,1512115199999,38.44651340,290,2401563.00000000,28.80694160,69198529.92413700
